credit_amt_median,number_of_credit_median,prob0,prob1
562523.3,88.5,0.9937573231401625,0.006242676859837498
562523.3,89.5,0.9937957396131462,0.006204260386853883
562523.3,90.5,0.9938533643226215,0.00614663567737846
562523.3,91.5,0.993910989032097,0.006089010967903037
562523.3,92.5,0.9939301972685888,0.006069802731411229
562523.3,93.5,0.9939878219780642,0.0060121780219358064
562523.3,94.5,0.994007030214556,0.005992969785443999
562523.3,95.5,0.9940838631605232,0.005916136839476767
562523.3,96.5,0.9941414878699987,0.0058585121300013445
562523.3,97.5,0.9941991125794741,0.005800887420525922
562523.3,98.5,0.9943719867079004,0.005628013292099652
562523.3,99.5,0.9944104031808839,0.005589596819116037
562523.3,100.5,0.9944872361268512,0.005512763873148806
562523.3,101.5,0.994506444363343,0.005493555636656999
562523.3,102.5,0.9945448608363266,0.005455139163673383
562523.3,103.5,0.9945832773093103,0.005416722690689768
562523.3,104.5,0.9946409020187856,0.005359097981214344
562523.3,106.0,0.9946985267282611,0.005301473271738921
562523.3,107.5,0.9947369432012447,0.005263056798755306
562523.3,109.0,0.9947753596742283,0.005224640325771691
562523.3,110.5,0.9948137761472119,0.005186223852788076
562523.3,111.5,0.994909817329671,0.0050901826703290375
562523.3,112.5,0.9949290255661628,0.00507097443383723
562523.3,113.5,0.9949674420391463,0.005032557960853614
562523.3,114.5,0.9950442749851136,0.004955725014886383
562523.3,115.5,0.9951018996945891,0.00489810030541096
562523.3,116.5,0.9951211079310809,0.004878892068919153
562523.3,117.5,0.995197940877048,0.004802059122951922
562523.3,118.5,0.9952747738230153,0.004725226176984691
562523.3,119.5,0.9953323985324908,0.004667601467509268
562523.3,120.5,0.9953516067689825,0.00464839323101746
562523.3,121.5,0.995409231478458,0.004590768521542037
562523.3,123.5,0.9954284397149498,0.00457156028505023
562523.3,126.0,0.9954476479514416,0.004552352048558422
562523.3,127.5,0.9954860644244252,0.004513935575574807
562523.3,129.0,0.9955244808974089,0.0044755191025911915
562523.3,130.5,0.9955436891339006,0.004456310866099384
562523.3,131.5,0.9955628973703924,0.004437102629607575
562523.3,132.5,0.9955821056068842,0.004417894393115768
562523.3,133.5,0.9956205220798678,0.0043794779201321524
562523.3,134.5,0.9956781467893433,0.0043218532106567295
562523.3,135.5,0.9957357714988186,0.004264228501181307
562523.3,136.5,0.9958126044447859,0.004187395555214076
562523.3,137.5,0.9958702291542614,0.004129770845738652
562523.3,138.5,0.996004686809704,0.003995313190295999
562523.3,139.5,0.9960431032826876,0.003956896717312384
562523.3,140.5,0.9960815197556713,0.003918480244328768
562523.3,141.5,0.9961583527016384,0.0038416472983615374
562523.3,142.5,0.9964464762490156,0.003553523750984422
562523.3,143.5,0.9965809339044582,0.003419066095541768
562523.3,144.5,0.9967153915599009,0.0032846084400991143
562523.3,145.5,0.9969074739248189,0.0030925260751810376
