credit_amt,number_of_credit,new_sam_1,new_sam_0,information_gain
607240,12,12880,39181,0.000109587
0,0,52060,1,1.42E-07
320000,1,28857,23204,0.000710397
314100,20,6378,45683,8.94E-05
0,0,52060,1,1.42E-07
110000,3,28740,23321,0.000771863
0,0,52060,1,1.42E-07
578000,1,27379,24682,0.000752481
0,0,52060,1,1.42E-07
88000,1,31001,21060,0.000839485
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
151040,4,27832,24229,0.000838695
0,0,52060,1,1.42E-07
1375200,2,14021,38040,0.000417426
0,0,52060,1,1.42E-07
232000,3,28210,23851,0.000755085
0,0,52060,1,1.42E-07
180000,1,29897,22164,0.000717667
0,0,52060,1,1.42E-07
114500,1,30606,21455,0.000785241
0,0,52060,1,1.42E-07
155000,3,28490,23571,0.000765331
400000,8,18332,33729,0.000302209
0,0,52060,1,1.42E-07
67986,3,28907,23154,0.000767667
420000,1,28253,23808,0.000684863
150000,1,30211,21850,0.000733061
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
89000,2,29698,22363,0.000742293
227000,3,28235,23826,0.000758304
286520,1,29121,22940,0.000669631
227481,5,26551,25510,0.000751843
350582,6,23083,28978,0.000478
331509,5,26360,25701,0.000727849
0,0,52060,1,1.42E-07
540146,61,662,51399,9.48E-06
149000,3,28549,23512,0.000747119
0,0,52060,1,1.42E-07
19000,1,32416,19645,0.000825584
0,0,52060,1,1.42E-07
150000,2,29239,22822,0.000684154
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
210000,1,29571,22490,0.000725942
200000,1,29742,22319,0.000722787
0,0,52060,1,1.42E-07
46000,2,29998,22063,0.000657389
301000,11,14028,38033,0.000124828
0,0,52060,1,1.42E-07
200000,1,29742,22319,0.000722787
0,0,52060,1,1.42E-07
266361,7,20497,31564,0.000375339
0,0,52060,1,1.42E-07
127000,4,27900,24161,0.000820493
986500,16,8227,43834,0.000101387
374156,3,27699,24362,0.0007674
257336,1,29263,22798,0.000687129
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
537000,12,12929,39132,0.000112283
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
260662,5,26481,25580,0.000743002
35100,4,28094,23967,0.000740242
515586,1,27695,24366,0.000766884
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
266000,1,29218,22843,0.000681557
0,0,52060,1,1.42E-07
106000,3,28760,23301,0.000774479
0,0,52060,1,1.42E-07
170000,1,29977,22084,0.000727923
0,0,52060,1,1.42E-07
75200,1,31128,20933,0.000857372
99000,1,30879,21182,0.000822508
